Temp Part,Heat Capacity,Thermal Insulance,Emissivity
100.0,306.49228,0.0062146056,0.895
150.0,340.06876,0.0062153805,0.895
200.0,377.66464,0.0062161237,0.895
250.0,406.4397,0.006216998,0.895
300.0,433.90704,0.0062177656,0.895
350.0,451.2768,0.0063193473,0.895
400.0,465.8358,0.0067240004,0.895
450.0,479.01202,0.0075178044,0.895
500.0,489.66028,0.0089622205,0.895
550.0,497.19672,0.011689398,0.895
600.0,505.1595,0.0147034805,0.89543563
650.0,514.5791,0.017688792,0.8973642
700.0,523.99927,0.020182341,0.89929277
750.0,533.42145,0.023099663,0.90122133
800.0,542.8456,0.026733156,0.9031499
850.0,555.21313,0.030859755,0.9050785
900.0,568.4038,0.036093403,0.90700704
950.0,588.9575,0.04120808,0.9089356
1000.0,615.3145,0.046973526,0.91086423
1050.0,645.4717,0.052276965,0.9127928
1100.0,683.10876,0.05830592,0.91472137
1150.0,716.42566,0.06432049,0.91664994
1200.0,716.43567,0.069384895,0.9185785
1250.0,716.44476,0.07494305,0.9205071
1300.0,716.45276,0.07950626,0.92243564
1350.0,716.4604,0.08464199,0.9243642
1400.0,716.46704,0.08877931,0.92629284
1450.0,716.47314,0.09353446,0.92629284
1500.0,716.4783,0.09729386,0.92629284
1550.0,716.4832,0.1016899,0.92629284
1600.0,716.4876,0.105915055,0.92629284
1650.0,716.49146,0.10918728,0.92629284
1700.0,716.49524,0.113126196,0.92629284
1750.0,716.4985,0.1161295,0.92629284
1800.0,716.5018,0.11978898,0.92629284
1850.0,716.5047,0.12252094,0.92629284
1900.0,716.5078,0.12584673,0.92629284
1950.0,716.51105,0.12893699,0.92629284
2000.0,716.51373,0.13118902,0.92629284
2050.0,716.5169,0.13395599,0.92629284
2100.0,716.5194,0.13596761,0.92629284
2150.0,716.5226,0.13841683,0.92629284
2200.0,716.52496,0.1402098,0.92629284
2250.0,716.52783,0.14249793,0.92629284
2300.0,716.53046,0.14473149,0.92629284
2350.0,716.5324,0.14636876,0.92629284
2400.0,716.5347,0.14850868,0.92629284
2450.0,716.53644,0.15006547,0.92629284
2500.0,716.5384,0.15212972,0.92629284
2550.0,716.5398,0.1536142,0.92629284
2600.0,716.54144,0.15560853,0.92629284
2650.0,716.54266,0.15702677,0.92629284
2700.0,716.5441,0.15895613,0.92629284
2750.0,716.5455,0.16084905,0.92629284
2800.0,716.54645,0.16214828,0.92629284
2850.0,716.54767,0.16389962,0.92629284
2900.0,716.5487,0.16508229,0.92629284
2950.0,716.5498,0.16667601,0.92629284
3000.0,716.5507,0.16773185,0.92629284
